name,alcohol,sugar,acid,oz,style,glass,melt,ingredients,all_text,features,x,y
Angostura Fizz,0.012531328320802,0.075125313283208,0.0151607411604239,3.99,fizz,coupe,0.33,Angostura bitters|lime juice|simple syrup|grenadine|heavy cream|egg white|soda water,Angostura|Fizz|fizz|coupe|Angostura|bitters|lime|juice|simple|syrup|grenadine|heavy|cream|egg|white|soda|water,Angostura|bitters|lime|juice|simple|syrup|grenadine|heavy|cream|egg|white|soda|water,-0.07502448960200604,-3.5236410826414457
Blonde Redhead,0.0355603448275862,0.0892241379310345,0.00420258620689655,9.28,,,0.28,aperol|grapefruit juice|lemon juice|club soda,Blonde|Redhead|nan|nan|aperol|grapefruit|juice|lemon|juice|club|soda,aperol|grapefruit|juice|lemon|juice|club|soda,24.78621758267248,-69.73230299517685
Trident,0.09102564102564098,0.0333333333333333,0.0,3.9,stirred,coupe,0.3,dry sherry|Cynar|aquavit|Fee Brothers peach bitters,Trident|stirred|coupe|dry|sherry|Cynar|aquavit|Fee|Brothers|peach|bitters,dry|sherry|Cynar|aquavit|Fee|Brothers|peach|bitters,96.55105073143052,-35.18665779370608
Mojito,0.0987654320987654,0.0779012345679012,0.007407407407407409,6.075,shaken,highball,0.35,white rum|mint leaves|simple syrup|lime juice|club soda|mint sprig,Mojito|shaken|highball|white|rum|mint|leaves|simple|syrup|lime|juice|club|soda|mint|sprig,white|rum|mint|leaves|simple|syrup|lime|juice|club|soda|mint|sprig,85.04326797652097,-6.614276628924733
Cricket Ball,0.0991735537190083,0.0275482093663912,0.0,4.5375,bubbly,flute,0.1,sugar|Peychaud's bitters|Fee Brothers rhubarb bitters|Lillet Rouge|champagne|lemon twist,Cricket|Ball|bubbly|flute|sugar|Peychaud's|bitters|Fee|Brothers|rhubarb|bitters|Lillet|Rouge|champagne|lemon|twist,sugar|Peychaud's|bitters|Fee|Brothers|rhubarb|bitters|Lillet|Rouge|champagne|lemon|twist,35.886675783272445,35.62163141401099
Landing Gear Fizz,0.101424501424501,0.155441595441595,0.0127635327635328,4.3875,shaken,Collins,0.35,Punt e Mes vermouth|falernum|lime juice|sherry|lime wheel|mint sprig,Landing|Gear|Fizz|shaken|Collins|Punt|e|Mes|vermouth|falernum|lime|juice|sherry|lime|wheel|mint|sprig,Punt|e|Mes|vermouth|falernum|lime|juice|sherry|lime|wheel|mint|sprig,-173.49459527465717,-182.97880322495462
Paloma,0.102564102564103,0.0740064102564103,0.00884615384615385,7.8,stirred,,0.3,tequila blanco|grapefruit juice|lime juice|simple syrup|club soda,Paloma|stirred|nan|tequila|blanco|grapefruit|juice|lime|juice|simple|syrup|club|soda,tequila|blanco|grapefruit|juice|lime|juice|simple|syrup|club|soda,47.85684946996419,44.20718059866503
Scotch Toddy,0.10416666666666699,0.0596354166666667,0.00390625,7.68,hot,mug,0.28,blended scotch whiskey|honey|lemon juice|boiling water,Scotch|Toddy|hot|mug|blended|scotch|whiskey|honey|lemon|juice|boiling|water,blended|scotch|whiskey|honey|lemon|juice|boiling|water,-48.90379423304351,-56.27722950013233
Southside Cocktail,0.10774410774410802,0.0637373737373737,0.00606060606060606,7.425,shaken,coupe,0.35,gin|mint leaves|lemon juice|simple syrup|club soda,Southside|Cocktail|shaken|coupe|gin|mint|leaves|lemon|juice|simple|syrup|club|soda,gin|mint|leaves|lemon|juice|simple|syrup|club|soda,55.49695879668853,-45.30235455403361
Tom Collins,0.10774410774410802,0.0637373737373737,0.00606060606060606,7.425,shaken,,0.35,gin|lemon juice|simple syrup|club soda,Tom|Collins|shaken|nan|gin|lemon|juice|simple|syrup|club|soda,gin|lemon|juice|simple|syrup|club|soda,52.62735271675166,57.018309666466756
